City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.33,74,62,16.98,broken clouds
1,Chokurdakh,RU,70.6333,147.9167,6.19,97,100,2.68,overcast clouds
2,Lagoa,PT,39.05,-27.9833,62.78,68,21,22.39,light rain
3,Ribeira Grande,PT,38.5167,-28.7,61.77,72,88,3.0,overcast clouds
4,Maarianhamina,AX,60.0973,19.9348,51.66,100,100,6.91,overcast clouds
5,Kapaa,US,22.0752,-159.319,84.52,72,0,17.27,clear sky
6,Port Hardy,CA,50.6996,-127.4199,48.38,81,75,2.3,broken clouds
7,Redding,US,40.5865,-122.3917,72.63,27,0,4.61,clear sky
8,Waipawa,NZ,-41.4122,175.5153,60.53,59,59,15.19,broken clouds
9,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,84,39,12.71,scattered clouds
10,Meridian,US,43.6121,-116.3915,53.82,50,0,5.75,clear sky
11,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,3.71,light snow
12,Ancud,CL,-41.8697,-73.8203,52.29,94,88,17.29,light rain
13,Hilo,US,19.7297,-155.09,81.25,84,100,8.05,haze
14,Geraldton,AU,-28.7667,114.6,54.01,87,2,3.44,clear sky
15,Buraydah,SA,26.326,43.975,73.96,16,3,9.1,clear sky
16,Ushuaia,AR,-54.8,-68.3,49.66,46,75,8.05,broken clouds
17,Atuona,PF,-9.8,-139.0333,77.49,67,2,18.07,clear sky
18,Alofi,NU,-19.0595,-169.9187,78.69,53,75,12.66,broken clouds
19,Petershagen,DE,52.3833,8.9667,50.56,93,46,5.75,scattered clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,68.09,85,0,5.99,light rain
21,Luderitz,NA,-26.6481,15.1594,64.83,57,100,12.26,overcast clouds
22,Carnarvon,AU,-24.8667,113.6333,64.47,59,0,21.85,clear sky
23,Bluff,NZ,-46.6,168.3333,53.8,89,100,15.48,light rain
24,Nikolskoye,RU,59.7035,30.7861,35.49,92,100,7.58,snow
25,Punta Arenas,CL,-53.15,-70.9167,48.11,66,100,24.56,overcast clouds
26,Lebu,CL,-37.6167,-73.65,55.31,91,85,10.13,overcast clouds
27,Saint-Francois,FR,46.4154,3.9054,62.04,72,98,6.91,light rain
28,Albany,US,42.6001,-73.9662,67.39,91,89,3.0,overcast clouds
29,Narsaq,GL,60.9167,-46.05,26.82,71,0,7.23,clear sky
30,Porbandar,IN,21.6422,69.6093,77.14,66,0,5.7,clear sky
31,Mehamn,NO,71.0357,27.8492,31.95,86,100,6.91,overcast clouds
32,Kavieng,PG,-2.5744,150.7967,84.22,72,100,6.08,light rain
33,Saint-Ambroise,CA,48.5501,-71.3324,58.59,87,100,4.09,overcast clouds
34,Bethel,US,41.3712,-73.414,68.09,86,100,3.44,overcast clouds
35,Laguna,US,38.421,-121.4238,76.08,34,0,6.91,clear sky
36,Bara,NG,10.3744,10.7288,77.52,30,35,6.46,scattered clouds
37,Akdepe,TM,42.0551,59.3788,54.54,58,74,13.2,broken clouds
38,Busselton,AU,-33.65,115.3333,55.72,86,78,7.49,broken clouds
39,Cherskiy,RU,68.75,161.3,-3.68,91,58,6.44,broken clouds
40,Xuddur,SO,4.1213,43.8894,72.27,85,74,9.48,broken clouds
41,Pacific Grove,US,36.6177,-121.9166,70.56,72,0,10.36,clear sky
42,Airai,TL,-8.9266,125.4092,66.09,79,100,1.25,overcast clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,67.55,92,83,4.0,broken clouds
44,Tara,RU,56.8944,74.371,32.23,98,100,5.48,light snow
45,Margate,GB,51.3813,1.3862,61.3,86,100,4.0,overcast clouds
46,Muzhi,RU,65.3667,64.6667,21.96,87,97,5.86,overcast clouds
47,Vaini,TO,-21.2,-175.2,71.76,83,75,6.91,broken clouds
48,Puerto Escondido,MX,15.85,-97.0667,85.03,58,75,9.22,broken clouds
49,Ostrovnoy,RU,68.0531,39.5131,31.06,89,91,17.92,overcast clouds
50,Dikson,RU,73.5069,80.5464,22.89,85,98,1.32,overcast clouds
51,Killybegs,IE,54.6333,-8.45,56.44,92,100,16.82,overcast clouds
52,Jamestown,US,42.097,-79.2353,62.06,59,100,6.91,overcast clouds
53,Hermanus,ZA,-34.4187,19.2345,59.81,77,100,12.5,overcast clouds
54,Cape Town,ZA,-33.9258,18.4232,63.12,76,41,11.01,scattered clouds
55,Phangnga,TH,8.4509,98.5298,77.04,93,100,2.55,overcast clouds
56,Hobart,AU,-42.8794,147.3294,56.26,97,75,19.57,mist
57,Siteki,SZ,-26.45,31.95,66.16,96,44,5.3,scattered clouds
58,Qaanaaq,GL,77.484,-69.3632,21.92,96,100,2.26,light snow
59,Rio Grande,BR,-32.035,-52.0986,66.31,86,0,17.31,clear sky
60,Sarakhs,IR,36.5449,61.1577,63.43,51,97,6.08,overcast clouds
61,Zlynka,RU,52.4267,31.7378,52.63,99,100,3.36,light rain
62,Mataura,NZ,-46.1927,168.8643,53.47,71,100,4.5,light rain
63,Barcelos,PT,41.5388,-8.6151,64.92,91,39,13.29,light rain
64,Viedma,AR,-40.8135,-62.9967,62.62,79,99,16.11,overcast clouds
65,Tuktoyaktuk,CA,69.4541,-133.0374,11.21,93,63,7.18,broken clouds
66,Husavik,IS,66.0449,-17.3389,35.8,88,100,7.14,overcast clouds
67,Yasnyy,RU,51.0333,59.8742,35.58,98,100,13.82,light rain
68,Hami,CN,42.8,93.45,50.05,39,100,2.46,overcast clouds
69,Lorengau,PG,-2.0226,147.2712,85.44,62,100,5.06,overcast clouds
70,Katsuura,JP,35.1333,140.3,55.42,73,80,24.45,broken clouds
71,Tazovskiy,RU,67.4667,78.7,15.84,90,78,12.8,broken clouds
72,Acapulco,MX,16.8634,-99.8901,84.02,79,20,12.66,light rain
73,Kumylzhenskaya,RU,49.8809,42.5898,43.12,66,90,5.37,overcast clouds
74,Coquimbo,CL,-29.9533,-71.3436,58.35,74,1,3.71,clear sky
75,Khatanga,RU,71.9667,102.5,1.35,99,87,6.33,overcast clouds
76,Manakara,MG,-22.1333,48.0167,73.49,79,90,10.6,overcast clouds
77,Vaitape,PF,-16.5167,-151.75,79.63,77,100,23.58,light rain
78,Port Alfred,ZA,-33.5906,26.891,60.19,91,99,4.0,overcast clouds
79,Nkowakowa,ZA,-23.8878,30.2871,78.35,44,34,3.36,scattered clouds
80,Bambous Virieux,MU,-20.3428,57.7575,72.21,79,9,12.88,light rain
81,Lompoc,US,34.6391,-120.4579,78.01,66,0,25.32,clear sky
82,New Norfolk,AU,-42.7826,147.0587,55.9,84,100,4.0,overcast clouds
83,Ilulissat,GL,69.2167,-51.1,26.62,93,100,4.61,light snow
84,Taywarah,AF,33.35,64.4167,39.16,50,7,2.68,clear sky
85,Kishi,NG,9.0833,3.85,73.74,89,98,5.28,overcast clouds
86,Chuy,UY,-33.6971,-53.4616,59.36,84,11,11.43,few clouds
87,Kununurra,AU,-15.7667,128.7333,85.98,79,10,0.0,clear sky
88,Norman Wells,CA,65.282,-126.8329,19.44,93,75,4.61,broken clouds
89,Mayo,US,38.8876,-76.5119,62.2,94,100,0.0,mist
90,San Patricio,US,28.017,-97.5169,77.09,23,0,6.64,clear sky
91,Komsomolskiy,UZ,40.4272,71.7189,56.12,76,40,6.91,scattered clouds
92,East London,ZA,-33.0153,27.9116,64.02,69,100,10.09,overcast clouds
93,Malpe,IN,13.35,74.7167,74.5,81,4,4.25,clear sky
94,Kodiak,US,57.79,-152.4072,45.91,76,75,0.0,broken clouds
95,Nabire,ID,-3.3667,135.4833,80.73,77,100,2.15,overcast clouds
96,Vibo Valentia,IT,38.6996,16.1274,55.99,70,33,1.57,scattered clouds
97,Hudson Bay,CA,52.85,-102.3842,30.02,81,100,5.37,overcast clouds
98,Sur,OM,22.5667,59.5289,79.65,48,0,8.01,clear sky
99,Lexington,US,37.9887,-84.4777,74.12,47,20,11.5,few clouds
100,San Rafael,AR,-34.6177,-68.3301,68.59,56,100,11.5,moderate rain
101,Totma,RU,59.9747,42.7642,28.67,95,9,3.27,clear sky
102,Banjar,ID,-8.19,114.9675,78.78,87,83,6.46,broken clouds
103,Ust-Kalmanka,RU,52.1207,83.305,31.57,42,0,3.44,clear sky
104,Avarua,CK,-21.2078,-159.775,77.05,57,100,6.91,overcast clouds
105,Ponta Do Sol,PT,32.6667,-17.1,73.0,89,53,5.91,light rain
106,Nanortalik,GL,60.1432,-45.2371,33.4,76,1,3.87,clear sky
107,Aitape,PG,-3.1374,142.3475,82.06,79,100,2.73,overcast clouds
108,Bredasdorp,ZA,-34.5322,20.0403,60.78,74,100,7.85,overcast clouds
109,Lakes Entrance,AU,-37.8811,147.981,58.15,94,100,2.3,light rain
110,Samarai,PG,-10.6167,150.6667,82.42,68,15,8.23,few clouds
111,Pithiviers,FR,48.1667,2.25,61.95,76,100,9.28,overcast clouds
112,Barrow,US,71.2906,-156.7887,19.42,93,100,21.85,overcast clouds
113,Longyearbyen,SJ,78.2186,15.6401,12.04,73,20,11.5,few clouds
114,Nanzhang,CN,31.7765,111.8386,56.19,93,100,1.12,overcast clouds
115,Namibe,AO,-15.1961,12.1522,68.4,86,37,6.89,scattered clouds
116,Navsari,IN,20.9524,72.9324,73.24,64,0,3.51,clear sky
117,Balabac,PH,7.9868,117.0645,80.58,82,90,6.26,overcast clouds
118,Paamiut,GL,61.994,-49.6678,30.72,60,39,5.23,scattered clouds
119,Pisco,PE,-13.7,-76.2167,60.03,86,5,8.34,clear sky
120,Hofn,IS,64.2539,-15.2082,42.31,83,100,17.76,overcast clouds
121,Dingle,PH,10.9995,122.6711,78.01,91,100,5.17,overcast clouds
122,Iqaluit,CA,63.7506,-68.5145,24.53,85,100,26.46,light snow
123,Hanyang,CN,32.1371,105.5126,54.95,93,100,2.64,overcast clouds
124,Port Elizabeth,ZA,-33.918,25.5701,61.11,83,97,7.63,light rain
125,Korla,CN,41.7597,86.1469,47.1,43,0,2.1,clear sky
126,Muniz Freire,BR,-20.4642,-41.4131,64.44,98,39,3.06,scattered clouds
127,Half Moon Bay,US,37.4636,-122.4286,72.57,60,0,20.71,haze
128,Lavrentiya,RU,65.5833,-171.0,27.28,74,90,13.0,overcast clouds
129,Richards Bay,ZA,-28.783,32.0377,70.63,84,80,18.92,broken clouds
130,Arman,RU,59.7,150.1667,26.02,85,69,5.01,broken clouds
131,Yuli,NG,9.6989,10.2744,79.2,58,70,3.44,broken clouds
132,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,87,46,10.27,scattered clouds
133,Lazarev,RU,52.225,141.5131,39.74,62,74,7.45,broken clouds
134,Pontianak,ID,-0.0333,109.3333,75.18,94,40,3.44,scattered clouds
135,Koslan,RU,63.4564,48.8989,32.13,82,96,6.49,overcast clouds
136,Iquique,CL,-20.2208,-70.1431,62.64,78,8,7.18,clear sky
137,Cockburn Town,TC,21.4612,-71.1419,80.35,71,100,4.14,light rain
138,Port-Gentil,GA,-0.7193,8.7815,78.76,94,40,10.36,thunderstorm
139,Celestun,MX,20.8667,-90.4,81.55,81,93,12.1,overcast clouds
140,Teya,RU,60.3778,92.6267,29.07,78,100,13.8,overcast clouds
141,Roald,NO,62.5833,6.1333,54.16,93,100,5.75,light rain
142,Srivardhan,IN,18.0333,73.0167,72.45,73,0,5.99,clear sky
143,Ikovka,RU,55.6089,64.9375,31.44,78,100,6.22,overcast clouds
144,Auki,SB,-8.7676,160.7034,84.69,68,45,4.97,scattered clouds
145,La Ronge,CA,55.1001,-105.2842,32.77,61,100,0.74,overcast clouds
146,Ron Phibun,TH,8.1791,99.8542,76.1,92,100,1.63,overcast clouds
147,Butaritari,KI,3.0707,172.7902,81.52,75,61,3.74,light rain
148,Na Klang,TH,17.3072,102.1889,70.52,86,75,2.33,broken clouds
149,Kushima,JP,31.4583,131.2333,60.51,69,7,8.28,clear sky
150,Hereford,GB,52.0568,-2.7148,60.03,91,100,1.99,moderate rain
151,Mlawa,PL,53.1128,20.3841,51.84,91,61,6.17,broken clouds
152,Raga,SS,8.4596,25.678,71.1,57,43,1.63,scattered clouds
153,Yellowknife,CA,62.456,-114.3525,23.56,85,90,11.01,overcast clouds
154,Codrington,AU,-38.2667,141.9667,58.78,94,99,11.88,overcast clouds
155,Bonthe,SL,7.5264,-12.505,78.57,85,31,5.21,scattered clouds
156,Denpasar,ID,-8.65,115.2167,76.71,94,40,4.61,scattered clouds
157,Pronsk,RU,54.1048,39.6092,32.81,87,29,6.64,scattered clouds
158,Marawi,PH,7.9986,124.2928,71.28,91,77,0.72,broken clouds
159,Kysyl-Syr,RU,63.8986,122.7617,22.84,96,96,7.07,overcast clouds
160,Meulaboh,ID,4.1363,96.1285,76.3,89,100,4.14,overcast clouds
161,Nata,PA,8.3333,-80.5167,80.47,87,100,5.19,moderate rain
162,Palana,RU,59.1167,159.9667,30.27,95,100,36.6,snow
163,Davila,PH,18.4726,120.5763,78.78,78,100,24.05,overcast clouds
164,Motygino,RU,58.1831,94.7592,27.54,77,64,5.3,broken clouds
165,Sao Filipe,CV,14.8961,-24.4956,78.53,79,87,7.96,overcast clouds
166,Valpacos,PT,41.6075,-7.3109,57.54,87,50,5.41,scattered clouds
167,Svetlogorsk,BY,52.6333,29.7333,51.17,98,100,6.26,overcast clouds
168,Sederot,IL,31.525,34.5969,76.3,56,0,5.73,clear sky
169,Kahului,US,20.8947,-156.47,89.62,62,20,24.16,few clouds
170,Formosa Do Rio Preto,BR,-11.0483,-45.1931,72.45,82,100,2.73,overcast clouds
171,Rundu,NA,-17.9333,19.7667,76.14,46,90,7.0,light rain
172,Georgetown,MY,5.4112,100.3354,78.24,90,40,2.3,scattered clouds
173,Homer,US,59.6425,-151.5483,39.79,80,100,5.99,light rain
174,Bud,US,39.447,-86.1758,63.97,95,100,12.93,heavy intensity rain
175,Santa Lucia,ES,27.9117,-15.5407,65.52,78,20,9.22,few clouds
176,Thompson,CA,55.7435,-97.8558,25.41,96,100,8.72,snow
177,Balsas,BR,-7.5325,-46.0356,73.54,89,100,9.35,overcast clouds
178,Aripuana,BR,-9.1667,-60.6333,72.48,95,100,1.66,overcast clouds
179,Altay,CN,47.8667,88.1167,36.27,48,100,3.4,overcast clouds
180,Mombaca,BR,-5.7431,-39.6275,82.85,53,48,5.06,scattered clouds
181,Kronshagen,DE,54.3433,10.0994,52.86,100,20,5.75,few clouds
182,Buenos Aires,AR,-34.6132,-58.3772,73.0,78,0,16.11,light rain
183,Calatayud,ES,41.3535,-1.6432,62.24,56,87,5.08,overcast clouds
184,Boa Vista,BR,2.8197,-60.6733,76.98,88,75,4.61,broken clouds
185,Fortuna,US,40.5982,-124.1573,57.65,81,0,13.8,clear sky
186,Vestmanna,FO,62.1564,-7.1664,47.32,100,100,4.61,fog
187,Neepawa,CA,50.2289,-99.4664,32.61,68,97,11.81,overcast clouds
188,Marsh Harbour,BS,26.5412,-77.0636,78.69,70,6,9.53,clear sky
189,Wielun,PL,51.221,18.5696,50.92,91,7,7.31,clear sky
190,Simplicio Mendes,BR,-7.8539,-41.9103,73.06,92,90,4.68,overcast clouds
191,Peniche,PT,39.3558,-9.3811,66.29,92,0,14.83,clear sky
192,Lengshuitan,CN,26.4111,111.5956,63.88,48,22,1.14,few clouds
193,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,20.71,scattered clouds
194,Severo-Kurilsk,RU,50.6789,156.125,40.03,64,2,7.45,clear sky
195,Gazanjyk,TM,39.2446,55.5154,54.82,68,0,3.27,clear sky
196,Fairbanks,US,64.8378,-147.7164,24.76,77,0,14.97,clear sky
197,Sri Aman,MY,1.2376,111.4621,73.89,99,99,2.1,overcast clouds
198,Mahibadhoo,MV,3.7833,72.9667,81.32,80,99,12.3,overcast clouds
199,Jumla,NP,29.2747,82.1838,41.61,57,0,5.21,clear sky
200,Itacoatiara,BR,-3.1431,-58.4442,81.45,72,100,2.93,overcast clouds
201,Iracoubo,GF,5.4802,-53.2011,80.4,80,99,8.93,overcast clouds
202,Inhambane,MZ,-23.865,35.3833,75.85,89,1,11.27,clear sky
203,Puerto Carreno,CO,6.189,-67.4859,83.48,68,86,2.64,overcast clouds
204,Damghan,IR,36.1683,54.348,53.67,63,0,1.16,clear sky
205,Lunenburg,CA,44.3835,-64.3155,63.48,99,99,4.47,overcast clouds
206,Hamilton,US,39.1834,-84.5333,75.15,53,40,12.66,scattered clouds
207,Abeche,TD,13.8292,20.8324,78.06,16,1,12.53,clear sky
208,Hasaki,JP,35.7333,140.8333,54.0,64,100,29.66,overcast clouds
209,Yate,GB,51.5407,-2.4184,61.3,89,100,5.01,overcast clouds
210,Semey,KZ,50.4111,80.2275,21.42,79,0,6.71,clear sky
211,Buta,CD,2.7858,24.73,68.45,99,100,0.87,light rain
212,Faya,SA,18.3851,42.4509,57.72,73,18,3.83,few clouds
213,Amahai,ID,-3.3333,128.9167,81.72,79,91,1.21,overcast clouds
214,Udachnyy,RU,66.4167,112.4,6.39,95,27,7.02,scattered clouds
215,Kavaratti,IN,10.5669,72.642,81.91,61,88,8.81,overcast clouds
216,Verkhnevilyuysk,RU,63.4453,120.3167,22.8,93,92,8.05,overcast clouds
217,Broome,US,42.2506,-75.833,67.32,82,20,5.75,few clouds
218,Saint-Pierre,RE,-21.3393,55.4781,70.92,73,0,5.75,clear sky
219,Ugoofaaru,MV,5.6667,73.0,80.29,82,87,6.58,overcast clouds
220,Neiafu,TO,-18.65,-173.9833,77.68,61,75,8.05,broken clouds
221,Yerbogachen,RU,61.2767,108.0108,27.5,94,100,10.47,light snow
222,Upernavik,GL,72.7868,-56.1549,22.91,94,100,9.8,light snow
223,Trat,TH,12.5,102.5,80.87,91,91,5.14,overcast clouds
224,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,38,13.71,scattered clouds
225,Esil,KZ,51.9556,66.4042,33.12,74,100,5.55,overcast clouds
226,Castro,BR,-24.7911,-50.0119,60.96,88,0,6.69,clear sky
227,Connersville,US,39.6412,-85.1411,71.62,59,100,4.0,overcast clouds
228,Marienburg,PL,54.0359,19.0266,51.89,92,72,7.99,broken clouds
229,Mokhsogollokh,RU,61.4681,128.9203,23.83,93,97,7.67,overcast clouds
230,Barranca,PE,-10.75,-77.7667,62.13,79,35,9.15,scattered clouds
231,Nsanje,MW,-16.92,35.262,78.42,54,2,3.18,clear sky
